2023-02-05 01:21:58 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:21:58 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (f342054a-6742-4f61-b1bf-49fdd2b21b1f)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:22:25 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:22:28 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:22:28 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:22:28 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:22:28 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (2c492f1c-b80d-4dd4-8aaf-64b0c3dbdd06)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:22:28 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (2c492f1c-b80d-4dd4-8aaf-64b0c3dbdd06)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:22:28 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:22:28 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:22:28 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:22:28 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:22:28 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (2c492f1c-b80d-4dd4-8aaf-64b0c3dbdd06)] -> id: downloadButton]
2023-02-05 01:22:28 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (2c492f1c-b80d-4dd4-8aaf-64b0c3dbdd06)] -> id: downloadButton]
2023-02-05 01:24:53 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:24:56 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:24:56 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:24:56 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:24:56 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (004e5671-b262-4e62-9401-bc1f2932d9b5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:24:56 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (004e5671-b262-4e62-9401-bc1f2932d9b5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:24:56 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:24:56 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:24:56 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:24:56 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:24:56 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (004e5671-b262-4e62-9401-bc1f2932d9b5)] -> id: downloadButton]
2023-02-05 01:24:56 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (004e5671-b262-4e62-9401-bc1f2932d9b5)] -> id: downloadButton]
2023-02-05 01:25:16 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:25:18 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:25:18 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:25:18 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:25:18 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (80eef78d5bcbd8fe775aa13c02e64d7f)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:25:18 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (80eef78d5bcbd8fe775aa13c02e64d7f)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:25:18 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:25:18 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:25:18 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:25:18 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:25:18 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (80eef78d5bcbd8fe775aa13c02e64d7f)] -> id: downloadButton]
2023-02-05 01:25:18 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (80eef78d5bcbd8fe775aa13c02e64d7f)] -> id: downloadButton]
2023-02-05 01:27:18 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:27:21 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:27:21 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:27:21 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:27:21 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (9058017d092a46e88ca3e51b19d94717)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:27:21 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (9058017d092a46e88ca3e51b19d94717)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:27:21 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:27:21 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:27:21 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:27:21 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
